SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_600_18,179700,1686200,33164997,424600,4786,208200,2753,68300,3552,80100,
seq_600_19,179700,2011200,33254765,423000,4795,209700,2849,68000,3068,77600,
seq_600_20,179700,1732900,33343701,519000,4797,207000,3080,72000,3021,76300,
seq_600_21,179700,2720800,33434798,432100,4803,215100,3128,71300,2655,78300,
seq_600_22,179700,1762500,33527069,436800,4767,208300,2888,70000,2442,77400,
seq_600_23,179700,1756000,33616493,688200,4763,215400,2871,70600,2545,78600,
seq_600_24,179700,1719300,33706092,430300,4806,208300,2419,68600,2897,78800,
seq_600_25,179700,1622800,33797247,431200,4807,217700,3004,71100,2743,95300,
seq_600_26,179700,1806200,33884811,420800,4800,208600,2594,69600,2566,76400,
seq_600_27,179700,1673100,33974540,422400,4818,208900,2837,71600,3502,79500,
seq_600_28,179700,2456400,34063577,684000,4797,225300,2936,71200,2717,78000,
seq_600_29,179700,1755500,34152697,422900,4803,208000,3138,69800,2831,76000,
seq_600_30,179700,1989200,34241812,428900,4807,228700,2685,69500,2611,76600,
seq_600_31,179700,1732600,34333682,433600,4801,227900,3295,71600,2633,78500,
seq_600_32,179700,1943500,34421735,761800,4793,443500,2719,99200,3044,105200,
seq_600_33,179700,1678100,34512585,427800,4769,281900,2929,69600,3683,79300,
seq_600_34,179700,1964300,34602591,426600,4785,301500,2424,65800,2946,76400,
seq_600_35,179700,1665300,34692908,523200,4770,274300,3174,70600,3079,78500,
seq_600_36,179700,1725500,34781974,423100,4779,277200,2542,67600,2152,76300,
seq_600_37,179700,2963900,34869953,423500,4800,278000,3169,70900,2938,80800,
seq_600_38,179700,1644100,34960613,435600,4809,279600,3232,70000,2583,77300,
seq_600_39,179700,1631400,35051852,437200,4778,238500,2935,68800,2967,76600,
seq_600_40,179700,1674300,35143143,430000,4770,226500,2835,69400,2891,77300,
seq_600_41,179700,1696800,35230867,415900,4801,280700,3189,70600,2768,78400,
seq_600_42,179700,1652900,35316785,404400,4798,368500,3041,69300,2770,80500,
seq_600_43,179700,1988600,35405975,419900,4805,281800,3464,72200,2663,75100,
seq_600_44,179700,3457300,35497271,546500,4786,277200,3933,72900,3223,79400,
seq_600_45,179700,1628100,35591146,445900,4758,274400,2657,68400,2687,76800,
seq_600_46,179700,2851100,35678620,543200,4822,291900,3124,68800,2252,72800,
seq_600_47,179700,1643000,35765627,444400,4793,276800,2571,68200,3682,80800,
seq_600_48,179700,2286200,35855820,1172900,4793,738100,2682,91800,3031,113600,
seq_600_49,179700,1743500,35941815,424700,4795,286600,2635,68800,2750,77200,
seq_600_50,179700,1856600,36032720,874100,4785,1592500,3195,81500,3150,83500,
seq_600_51,179700,2340900,36125177,768300,4789,284700,2938,69800,3087,77100,
seq_600_52,179700,1726600,36214357,453600,4784,2253600,3237,106900,2696,157400,
seq_600_53,179700,2687100,36304633,866400,4772,443700,2588,99000,2911,120300,
seq_600_54,179700,1664400,36392993,539300,4795,279700,2815,68700,2712,76500,
seq_600_55,179700,1718800,36480870,417100,4776,281600,3732,72400,3753,80000,
seq_600_56,179700,1676600,36572490,436900,4789,278000,3464,70700,2520,77000,
seq_600_57,179700,2289200,36668813,643800,4782,276800,2597,71100,2882,77700,
seq_600_58,179700,1604500,36758032,423000,4818,275400,2557,68000,2879,77300,
seq_600_59,179700,1681900,36847804,426800,4783,278800,2597,67800,3172,80800,
seq_600_60,179700,3948600,36939270,436300,4792,276600,2281,67200,3343,79700,
seq_600_61,179700,1600200,37025838,409400,4791,281300,2861,69000,2665,77700,
seq_600_62,179700,4520300,37116450,803700,4805,291100,2730,70300,3084,78500,
